method,property,alpha,latent_displacement,requested_candidates,valid_candidates,valid_fraction,distinct_canonical_structures,median_sa_score,median_delta_sa_vs_seed,median_np_likeness,median_delta_np_vs_seed,median_np_fragment_confidence,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),FractionCSP3,86.36363636363637,86.36363636363637,50,50,1.0,50,4.561808841893512,1.9225920132085856,1.0828463885788975,1.8389902715996203,0.8476418570375829,0.04,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,89.3939393939394,89.3939393939394,50,50,1.0,50,4.62578996689691,2.03129789937353,0.9825243726297204,1.8191491573009333,0.8481554677206851,0.04,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,92.42424242424244,92.42424242424244,50,50,1.0,50,4.812913824282495,2.1591837575354087,1.1379275358936343,1.9940706467306184,0.8461538461538461,0.04,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,95.45454545454544,95.45454545454544,50,50,1.0,50,4.479324384943602,1.9791474870472872,1.0720370238202968,1.8093608671037686,0.851457840819543,0.04,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,98.48484848484848,98.48484848484848,50,50,1.0,50,4.544821426706621,1.9378367937024437,1.0279948018353549,1.776423899487709,0.8637566137566137,0.04,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,101.5151515151515,101.5151515151515,50,50,1.0,50,4.408506979457924,1.9982627808430244,0.9309070495574977,1.8399976384894248,0.8689931350114417,0.02,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,104.54545454545452,104.54545454545452,50,50,1.0,50,4.438730951938895,1.9613292365616908,0.9765344906883945,1.7327562552897247,0.8722826086956521,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,107.57575757575756,107.57575757575756,50,50,1.0,50,4.592168962807307,2.1693676218038536,0.9741774852139166,1.7872253577065798,0.8739606953892668,0.02,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,110.60606060606062,110.60606060606062,50,50,1.0,50,4.558124179756309,2.1029063152232377,0.9653410331209287,1.7499805223686917,0.8821717366191759,0.02,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,113.63636363636364,113.63636363636364,50,50,1.0,50,4.472919245215916,1.999694012466135,0.9569800888849144,1.6086931576672185,0.8773720014321518,0.02,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,116.66666666666669,116.66666666666669,50,50,1.0,50,4.566483388765297,2.0727559760512855,0.8286817311629082,1.7258205021077,0.8786764705882353,0.02,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,119.69696969696967,119.69696969696967,50,50,1.0,50,4.665551437426599,2.1896324438741157,0.852879267429203,1.658077139833157,0.8715488215488215,0.02,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,122.72727272727276,122.72727272727276,50,50,1.0,50,4.768067959845318,2.131327304670132,0.9014714648348461,1.7642923813769213,0.8987179487179487,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,125.75757575757576,125.75757575757576,50,50,1.0,50,4.702878233141012,2.120016547161564,0.8467282265248748,1.6574909490626708,0.9154761904761904,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,128.7878787878788,128.7878787878788,50,50,1.0,50,5.044948749911822,2.5156136853675584,0.7262994289725235,1.5134475761659778,0.9274044795783927,0.02,0.96
