property,alpha,latent_displacement,paired_seeds,raw_valid_fraction,chemspace_valid_fraction,raw_median_expected_improvement,chemspace_median_expected_improvement,median_improvement_difference_chemspace_minus_raw,raw_median_seed_similarity,chemspace_median_seed_similarity
BertzCT,-19.69696969696969,19.69696969696969,50,1.0,0.88,95.1732515037022,700.3441222322309,568.2809193661922,0.5579710144927537,0.0211111111111111
BertzCT,-16.666666666666657,16.666666666666657,50,1.0,0.92,56.18174615891667,714.2535605285822,591.2599538718193,0.6881720430107527,0.0263340263340263
BertzCT,-13.636363636363626,13.636363636363626,50,1.0,0.96,-0.0,716.2035721465948,690.8067883376973,1.0,0.030776515151515152
BertzCT,-10.606060606060595,10.606060606060595,50,1.0,1.0,-0.0,733.5321357194807,716.2035721465948,1.0,0.0344827586206896
BertzCT,-7.575757575757564,7.575757575757564,50,1.0,1.0,-0.0,729.2046803503864,713.2535605285822,1.0,0.0647031539888682
BertzCT,-4.545454545454561,4.545454545454561,50,1.0,1.0,-0.0,523.4182425147944,523.4182425147944,1.0,0.11882352941176469
BertzCT,-1.5151515151515298,1.5151515151515298,50,1.0,1.0,-0.0,-0.0,0.0,1.0,1.0
BertzCT,1.5151515151515014,1.5151515151515014,50,1.0,1.0,0.0,0.0,0.0,1.0,1.0
BertzCT,4.5454545454545325,4.5454545454545325,50,1.0,1.0,0.0,158.57421958232123,158.57421958232123,1.0,0.25131578947368416
BertzCT,7.575757575757564,7.575757575757564,50,1.0,1.0,0.0,79.0222019272029,79.02220192720284,1.0,0.10612764816304635
BertzCT,10.606060606060595,10.606060606060595,50,1.0,1.0,0.0,297.51031121158763,236.47244315796792,1.0,0.09128745837957819
BertzCT,13.636363636363626,13.636363636363626,50,1.0,1.0,0.0,1394.3979024558066,1394.3979024558066,1.0,0.06661489821953515
BertzCT,16.666666666666657,16.666666666666657,50,1.0,1.0,5.684341886080802e-14,3144.378166277831,3079.466507887606,0.6536264282165921,0.06047544409613375
BertzCT,19.69696969696969,19.69696969696969,50,1.0,1.0,96.26520405367899,6283.563813772211,6233.841830079553,0.5378571428571428,0.0434782608695652
BertzCT,22.72727272727272,22.72727272727272,50,1.0,1.0,91.05315837813117,7885.183801472611,7817.366879851497,0.5067567567567568,0.0269696969696969
BertzCT,25.75757575757575,25.75757575757575,50,1.0,1.0,110.7841349777101,8759.956691263124,8522.424921209444,0.4609800362976406,0.02187425292852015
BertzCT,28.787878787878782,28.787878787878782,50,1.0,1.0,156.97008861626063,9415.102042645323,9253.87782942395,0.40161290322580645,0.0142022562449637
BertzCT,31.818181818181813,31.818181818181813,50,1.0,1.0,104.95421974387,10105.270393788243,9932.16758837947,0.30033404190707563,0.0143892339544513
BertzCT,34.848484848484844,34.848484848484844,50,1.0,1.0,116.96734073935454,10416.971209010142,10190.23670444175,0.2619047619047619,0.0
BertzCT,37.878787878787875,37.878787878787875,50,1.0,1.0,147.94935724434134,10493.128921508103,10321.049587801142,0.21182983682983683,0.0
BertzCT,40.90909090909091,40.90909090909091,50,1.0,1.0,147.26587415327475,10494.426861564138,10360.628655647784,0.18657357679914072,0.0
BertzCT,43.93939393939394,43.93939393939394,50,1.0,1.0,163.50905316582885,10477.257353786725,10379.895477350852,0.16552511415525112,0.0
BertzCT,46.96969696969697,46.96969696969697,50,1.0,1.0,154.36708212566555,10477.257353786725,10361.22022113454,0.1368421052631579,0.0
BertzCT,50.0,50.0,50,1.0,1.0,137.53485742249916,10516.054305315221,10303.860004887185,0.1256578947368421,0.0
BertzCT,53.03030303030303,53.03030303030303,50,1.0,1.0,215.16386267443949,10536.68581662581,10294.980572200599,0.12382075471698113,0.0
BertzCT,56.06060606060606,56.06060606060606,50,1.0,1.0,272.7612696148621,10536.68581662581,10281.267711674396,0.10748574857485749,0.0
BertzCT,59.09090909090909,59.09090909090909,50,1.0,1.0,328.0537236856029,10536.68581662581,10229.523409520138,0.10768500948766604,0.0
BertzCT,62.121212121212125,62.121212121212125,50,1.0,1.0,317.4588193684228,10536.68581662581,10294.90311080913,0.10724554341575618,0.0
