method,property,alpha,latent_displacement,requested_candidates,valid_count,valid_fraction,changed_from_seed_count,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_property,median_property_delta,median_expected_signed_improvement,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_evaluable_count,scaffold_retention_fraction
MolecuLA raw OLS (seed-excluded),FractionCSP3,137.87878787878788,137.87878787878788,50,50,1.0,50,1.0,1.0,0.9863007271874267,0.6769904914652308,0.6769904914652308,1.0,0.05321557971014493,0.031374007936507936,0.0681967860906217,25,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,140.90909090909088,140.90909090909088,50,50,1.0,50,1.0,1.0,1.0,0.6791424093148231,0.6791424093148231,1.0,0.042403356308061135,0.030192307692307692,0.07407407407407407,20,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,143.93939393939394,143.93939393939394,50,50,1.0,50,1.0,1.0,1.0,0.6961538461538461,0.6961538461538461,1.0,0.04365079365079365,0.030651491365777078,0.06785337949721511,18,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,146.96969696969694,146.96969696969694,50,50,1.0,50,1.0,1.0,1.0,0.6961538461538461,0.6961538461538461,1.0,0.04196009389671361,0.030192307692307692,0.06381919553962564,15,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,150.0,150.0,50,50,1.0,50,1.0,1.0,1.0,0.7105052481764811,0.7105052481764811,1.0,0.04411764705882353,0.032390269698572186,0.06160241874527589,15,0.0
MolecuLA raw OLS (seed-excluded),HBA,-150.0,150.0,50,50,1.0,50,1.0,1.0,0.0,-4.0,4.0,1.0,0.02128623188405797,0.0,0.032692307692307694,10,0.0
MolecuLA raw OLS (seed-excluded),HBA,-146.96969696969697,146.96969696969697,50,50,1.0,50,1.0,1.0,0.0,-4.0,4.0,1.0,0.02128623188405797,0.0,0.03663522012578616,9,0.0
MolecuLA raw OLS (seed-excluded),HBA,-143.93939393939394,143.93939393939394,50,50,1.0,50,1.0,1.0,0.0,-4.0,4.0,1.0,0.021980676328502417,0.0,0.038461538461538464,10,0.0
MolecuLA raw OLS (seed-excluded),HBA,-140.9090909090909,140.9090909090909,50,49,0.98,49,0.98,1.0,0.0,-4.0,4.0,1.0,0.023809523809523808,0.0,0.038461538461538464,11,0.0
MolecuLA raw OLS (seed-excluded),HBA,-137.87878787878788,137.87878787878788,50,49,0.98,49,0.98,1.0,0.0,-4.0,4.0,1.0,0.023809523809523808,0.0,0.046153846153846156,14,0.0
MolecuLA raw OLS (seed-excluded),HBA,-134.84848484848484,134.84848484848484,50,50,1.0,50,1.0,1.0,0.0,-4.0,4.0,1.0,0.023268398268398268,0.0,0.038461538461538464,12,0.0
MolecuLA raw OLS (seed-excluded),HBA,-131.8181818181818,131.8181818181818,50,50,1.0,50,1.0,1.0,0.0,-4.0,4.0,1.0,0.025657894736842105,0.0,0.04422038742457923,14,0.0
MolecuLA raw OLS (seed-excluded),HBA,-128.78787878787878,128.78787878787878,50,50,1.0,50,1.0,1.0,0.0,-4.0,4.0,1.0,0.02667140825035562,0.0,0.04477611940298507,15,0.0
